id,name,neighbourhood,room_type
2305412,Luxury Condo DwnTwn SJ SAP/Caltrain,San Jose,Entire home/apt
2328846,Nice Cupertino Area Condo- EZ access to everywhere,San Jose,Entire home/apt
2386717,June - September internships: Clean + Quiet + Food,San Jose,Shared room
2396703,Cozy Cottage in Los Gatos,Los Gatos,Entire home/apt
2448151,MR1: Fantastic San Jose 3 bdrm,San Jose,Entire home/apt
2448155,Private room in North San Jose !,San Jose,Private room
2477141,5 Star Loft in Santana Row!,San Jose,Entire home/apt
2496109,"Silicon Valley ""Farm House""",San Jose,Entire home/apt
2500968,Clean + Quiet + Food Provided: Engineers & Interns,San Jose,Shared room
2515292,Home away from home in Santa Clara,Santa Clara,Entire home/apt
2632537,Iris House: Garden room - dwntn Palo Alto/Stanford,Palo Alto,Private room
2670018,HackerHome - Mountain View shared room 1a,Mountain View,Shared room
2672540,Ladybug Studio in Mountain View,Mountain View,Entire home/apt
2676760,Single room,Palo Alto,Private room
2809199,Luxury 3 bd Business/Vacation in Rivermark,Santa Clara,Entire home/apt
2861174,Casablanca  Master Suite,Palo Alto,Private room
2880487,**Premium Executive Condo. with Maid Svcs**,Los Altos,Entire home/apt
2897527,Spacious Master Room with Private Bathroom,Mountain View,Private room
2943488,Co-Living #5~budget room~young techies Sunnyvale,Sunnyvale,Private room
3068858,Awesome Eichler in Palo Alto,Palo Alto,Entire home/apt
3128262,2BR~2Bth Nice Townhouse in Serene Oasis,Los Gatos,Entire home/apt
3132652,** 2BR LUXURY Apt in Palo Alto **,Palo Alto,Entire home/apt
3153857,Private studio in downtown,Mountain View,Entire home/apt
3166169,"Private bathroom private room, 13 min to tesla",San Jose,Private room
3177772,"Exquisite DT unit,walk to bus stops",Mountain View,Entire home/apt
3215941,Large Comfortable Exec. 3 BR House,San Jose,Entire home/apt
3216792,Students Welcome! 1 Bed & 1 Private Bath,San Jose,Private room
3271133,Cozy Bedroom (Perfect for Interns),Santa Clara,Private room
3272579,The Studio at Rose Manor | 5 mins to SJC Airport,San Jose,Entire home/apt
3334410,"Gorgeous, comfortable two bedroom Suite",Palo Alto,Entire home/apt
3339021,Studio Cottage in a Lovely Garden,Mountain View,Entire home/apt
3344696,Cute & clean violet room,San Jose,Private room
3395770,Charming Ranch House,Sunnyvale,Entire home/apt
3447088,"Charming home, Shasta-Hanchett Park, Central SJ",San Jose,Entire home/apt
3544603,50's Craftsman in Downtown San Jose,San Jose,Entire home/apt
3550391,Private Sleeps 2- SelfContained SJ Silicon Valley,San Jose,Entire home/apt
3554692,Charming Retreat | Private Room in Silicon Valley,San Jose,Private room
3625959,"Convenient location, Private bathroom Master suite",Santa Clara,Private room
3654787,Palo Alto Garden Cottage,Palo Alto,Entire home/apt
3657216,Historic Downtown Mtn View Home,Mountain View,Entire home/apt
3667097,Large home w/central AC  near Kaiser/280/Lawrence,Santa Clara,Entire home/apt
3689088,Bright and Airy 2BR/1bath Walk to DT and Caltrain,Mountain View,Entire home/apt
3766480,Charming Los Gatos Cottage B,Los Gatos,Entire home/apt
3821482,The Bangalore House & Oasis @ SJC,San Jose,Private room
3821766,Private Entry near Stanford & G00gle,Los Altos,Entire home/apt
3869637,Luxury Townhouse MV 3BR/4BA,Mountain View,Entire home/apt
3897960,Mid-Century Modern One Bedroom Apartment,San Jose,Entire home/apt
3938025,Spacious + Comfort + Pool + Location: Perfect Spot,Santa Clara,Entire home/apt
4015250,Mountain View Pied-a-Terre,Mountain View,Entire home/apt
4052133,Co-Living #2~travelers on tight budget~Sunnyvale,Sunnyvale,Private room
4076753,Charming studio cottage in garden,San Jose,Private room
4092562,Modern Retreat in the Heart of Silicon Valley,Santa Clara,Entire home/apt
4099330,Private Room #1 Downtown San Jose,San Jose,Private room
4113230,Sequoia Redwood Garden in Sunnyvale,Sunnyvale,Private room
4143270,Amazing and comfortable full apt,Mountain View,Entire home/apt
4146085,Bright comfortable room,San Jose,Private room
4165799,Modern Suite w/ luxury bath @ San Jose/Los Gatos,San Jose,Private room
4173544,Beautiful room with private bath near Stanford,Palo Alto,Private room
4219465,Quiet room near Stanford,Palo Alto,Private room
4231492,Charming Los Gatos Cottage A,Los Gatos,Entire home/apt
4249517,"Nice room in a big house, 3 min walk to Boulevard",Santa Clara,Private room
4262343,Exec Palo Alto Retreat w/ In Unit Laundry & Pool,Palo Alto,Entire home/apt
4318893,"Spacious house 3 BR, 2.5 bath +pool prime location",San Jose,Entire home/apt
4325327,"Charming cottage w/lovely gardens, close to town",Los Gatos,Entire home/apt
4365909,"Nice, Clean, Cozy Room",San Jose,Private room
4369192,Co-Living #6~home share~budget stay~full bed,Sunnyvale,Private room
4378059,Iris House:  Sky room in dwntn Palo Alto/Stanford,Palo Alto,Private room
4397346,Modern & Spacious Guesthouse in Cupertino,Cupertino,Entire home/apt
4412661,硅谷中心独立带卫生间客房,San Jose,Private room
4432028,"1BR/1BA private entrance, kitchenette, Willow Glen",San Jose,Entire home/apt
4502284,Beautiful and spacious home,Unincorporated Areas,Entire home/apt
4512404,2 BR/2 BA Downtown Palo Alto near Stanford,Palo Alto,Entire home/apt
4559276,Second Floor Private Bedroom II,Palo Alto,Private room
4580381,Elegant Cozy Palo Alto Suite,Palo Alto,Entire home/apt
4617283,Private room w/full bed,San Jose,Private room
4637694,*Cozy Home & Office Extended Stay (31 day min),Cupertino,Entire home/apt
4645802,"Single family home near Stanford, G@@gle, F@ceb@@k",Palo Alto,Entire home/apt
4660686,Beautiful private room and bathroom,Santa Clara,Private room
4745868,"Fabulous 2BR,1BA home near Stanford",Palo Alto,Private room
4775852,"Gorgeous! Nicest Part of San Jose, Almaden",San Jose,Entire home/apt
4836430,Private master room with private bath and smart TV,Palo Alto,Private room
4881147,HUGE  7B/4b House+  Office/Baby Room,Palo Alto,Entire home/apt
4887943,Spanish Charmer.  Japan-convention!,San Jose,Entire home/apt
4987979,Zen Cul-de-Sac Private Room,Mountain View,Private room
4999136,"Cozy room, work desk w/ 27” monitor near Los Gatos",San Jose,Private room
5020651,Modern Bedroom in Silicon Valley,Mountain View,Private room
5093865,Private Room & Private bathoom,Campbell,Private room
5106391,Coroporate Housing*AC*Walk2Target*Central in SV,Santa Clara,Entire home/apt
5329995,(1) Cozy Private Bedroom in Mt View! Clean & Safe!,Mountain View,Private room
5335433,"Private Suite in Quaint Victorian Santa Clara, CA",Santa Clara,Private room
5395511,The Groove Pad,Palo Alto,Private room
5423728,Modern home close to airport & downtown,San Jose,Entire home/apt
5447833,"Santana Row Condo #2 Super Host, Silicon Valley SJ",San Jose,Entire home/apt
5482158,Stay,San Jose,Private room
5601215,The Heart of Sunnyvale -beautiful Blue Room,Sunnyvale,Private room
5648497,1B1B Palo Alto studio next to Stanford（斯坦福附近）,Palo Alto,Entire home/apt
5651327,Cozy Spacious Bedroom w/ walk-in closet,San Jose,Private room
5679666,Palo Alto- walk to town -Charming 4 bedroom home,Palo Alto,Entire home/apt
5716662,Panoramic Views- Los Gatos Eichler Secluded Estate,Los Gatos,Entire home/apt
5750853,Beautiful Garden Green Room,Sunnyvale,Private room
5761415,1Vegan Sculpture Garden ofSunnyvale,Sunnyvale,Private room
5784888,The Garden Studio | in the Heart of Willow Glen,San Jose,Entire home/apt
5799692,"Private Bath, kitchenette, Large desk secure Quiet",Santa Clara,Private room
5805894,Looking for a female house mate,San Jose,Private room
5814150,Cozy one Bedroom with / Bathroom For Females,Santa Clara,Private room
5825094,Willow Glen Garden Cottage | 1bed / 1bath,San Jose,Entire home/apt
5825468,The Garden Loft | Newly Remodeled | Willow Glen,San Jose,Entire home/apt
5840694,Cupertino Area Suite w 2 Bedrooms Sleeps 4,San Jose,Private room
5850948,The Blackbird Bus,Palo Alto,Shared room
5970242,Terrific downtown Palo Alto location near Stanford,Palo Alto,Entire home/apt
5980798,Large Saratoga Modern Ranch Home,Saratoga,Entire home/apt
5992960,Fantastic 3 bed/1.5 bath townhouse!,Mountain View,Entire home/apt
6030777,A cozy place to call home,San Jose,Private room
6037016,Charming room with private bath near Stanford,Palo Alto,Private room
6074575,Charming Hidden Cottage,Los Gatos,Entire home/apt
6088560,"TP: Perfect Spot By Levi's, SAP, Convention Ctrs",Santa Clara,Entire home/apt
6090868,Adorable room (tiny garden house) near Stanford,Palo Alto,Private room
6092949,Classic cottage,Palo Alto,Entire home/apt
6122333,"Spacious home by 49ers stadium+shops, work remote",Santa Clara,Entire home/apt
6146422,Queen BD+own bath+walk to Castro!,Los Altos,Private room
6147187,"30% Discount/month: Clean, Quiet, & Unlimited Food",San Jose,Shared room
6159339,A sunny room full bed heat pump/AC,Palo Alto,Private room
6172005,Stock the Wine Fridge at a Chic Loft on Vibrant Santana Row,San Jose,Entire home/apt
6185829,Cozy furnished private room in Silicon Valley,San Jose,Private room
6186092,Cozy private room in Silicon Valley,San Jose,Private room
6201137,Downtown Los Gatos Bungalow,Los Gatos,Entire home/apt
6239859,Superbowl - Willow Glen Craftsman,San Jose,Entire home/apt
6249957,Private room with full size bed,San Jose,Private room
6276519,"Studio+yard, Kitchen, Laundry, Pet friendly",Cupertino,Entire home/apt
6290814,"ROOM IN  BEAUT.  CONDO WITH/SWIM. POOL, PRIME LOC",Palo Alto,Private room
6304461,"Engineers & Entrepreneurs: Clean, Quiet, Food Plan",San Jose,Shared room
6327574,Home of engineers in silicon valley,Santa Clara,Private room
6349421,The Orchard Tiny Home-Experience Tiny Home Living!,Santa Clara,Entire home/apt
6451746,HackerHome - Downtown Mountain View: shared room c,Mountain View,Shared room
6453113,Serene resort in Midtown,Palo Alto,Entire home/apt
6475531,Private Studio with Private Entrance & Hot Tub,San Jose,Private room
6488488,Peaceful & Bright Los Gatos Home,Los Gatos,Entire home/apt
6490623,Adventure Spa,San Jose,Entire home/apt
6505215,Queensize Bed Private Bedoom w/ Hallway Bathroom),Saratoga,Private room
6506494,"""Immaculate Executive Cottage""",Sunnyvale,Entire home/apt
6578610,Private Cottage - Pets Welcome RV Friendly,San Jose,Entire home/apt
6592397,Condo in Upscale Santana Row,San Jose,Entire home/apt
6646324,Beautiful 2 BR Suite in Silicon Valley,Los Altos,Private room
6674661,1BR/1BA close to Silicon Valley,Unincorporated Areas,Entire home/apt
6675759,Campbell Cottage,Campbell,Entire home/apt
6679092,543 #B 1bdroom/1bath/1crprt furnish,Palo Alto,Entire home/apt
6688454,Private room/bath in family house,San Jose,Private room
6705632,Charming 2BR in Palo Alto,Palo Alto,Entire home/apt
6730792,Large Apple condo upscale,Cupertino,Entire home/apt
6810714,Private Cottage in Cupertino,Cupertino,Entire home/apt
6833523,Private nicely decorated studio,Campbell,Entire home/apt
6834708,Your East Foothills Private Oasis,Unincorporated Areas,Entire home/apt
6926755,Palo Alto Downtown  1-Bedroom near Stanford,Palo Alto,Entire home/apt
6953456,Bright room in a convenience place,San Jose,Private room
7001647,Cute cozy cottage near downtown S.J.,San Jose,Entire home/apt
7019630,CaC - Fresh 2-BR Suite w/ Kitchen & Balcony in SJ,Campbell,Entire home/apt
7037036,Spacious guest cottage,Los Altos,Entire home/apt
7037307,Comfort Room with Private Bath,Palo Alto,Private room
7037699,Private & Quiet Garden Cottage,Sunnyvale,Entire home/apt
7127032,"Peaceful one bed, private bath and entrance",San Jose,Private room
7262110,Quiet 1BR 1B; 1-2 miles from Apple & 280 freeway.,San Jose,Private room
7305266,Kindel Private Bedroom and Bath,Palo Alto,Private room
7307115,The studio at Sarahills Vineyards,Saratoga,Entire home/apt
7348804,1BR/1BA Duplex (C) near Castro/Caltrain Mtn View,Mountain View,Entire home/apt
7349901,Nice room near Stanford,Palo Alto,Private room
7374603,Charming garden-view room near town,Palo Alto,Private room
7461980,Private Bath & Fast Wifi & Kitchen,Sunnyvale,Private room
7476637,Quiet room priv bath near Netflix,Campbell,Private room
7479487,#14 Nice quiet room in downtown San Jose Victorian,San Jose,Private room
7479617,#15 Tiny Balcony room in downtown San Jose,San Jose,Private room
7480207,#01 Charming 1 bedroom apartment downtown San Jose,San Jose,Entire home/apt
7528267,Great location-Downtown Palo Alto & Stanford,Palo Alto,Entire home/apt
7544766,"555 #14 Dwntwn townhse, crtyard,A/C",Palo Alto,Entire home/apt
7544879,"555 #11 Dwntwn twnhse w/crtyard,A/C",Palo Alto,Entire home/apt
7555372,Palo Alto Apartment,Palo Alto,Entire home/apt
7564179,Bright  1-Bedroom Downtown Palo Alto near Stanford,Palo Alto,Entire home/apt
7591031,Restful & Luxurious: Silicon Valley Serenity Room,Santa Clara,Private room
7601668,Welcome to our charming Tudor home,Palo Alto,Entire home/apt
7603798,Dolce Vita! Charming Downtown Bungalow Top Rated,Mountain View,Entire home/apt
7615781,Full Guest House in the Foothills,Unincorporated Areas,Entire home/apt
7674277,Quiet and Comfortable Studio,San Jose,Entire home/apt
7679755,The Feathered Nest in Sunnyvale,Sunnyvale,Private room
7699331,Spacious Cottage w/Vaulted Ceiling,Mountain View,Entire home/apt
7711875,APARTMENT #(6)# Upstairs Unit Near SAN JOSE STATE,San Jose,Entire home/apt
7734880,Luxury 3BR/2.5BA near Levi's,Sunnyvale,Entire home/apt
7735419,Luxury 3BR/2.5BA Downtown!,Mountain View,Entire home/apt
7746406,#09 Nice large room in downtown San Jose Victorian,San Jose,Private room
7773067,Cozy home in Almaden Valley; S. SJ,Unincorporated Areas,Private room
7783495,Palo Alto: Beautiful Executive 4BR,Palo Alto,Entire home/apt
7791355,"Cottage Near Stanford, Tesla",Los Altos,Entire home/apt
7803043,Queen studio apartment,San Jose,Entire home/apt
7827683,Newly renovated 1BD/1BA unit *Centrally Located*,San Jose,Entire home/apt
7828828,"500 #1, Studio, Dwntwn, Hrdwd",Palo Alto,Entire home/apt
7844355,Private East room in prime Sunnyvale location.,Sunnyvale,Private room
7858199,Spacious Private Guest Unit,Palo Alto,Entire home/apt
7860219,Modern 5 Bedroom Palo Alto Home-sleeps 10!,Palo Alto,Entire home/apt
7876128,"555 #1 twnhse 1 bedrm/courtyard,A/C",Palo Alto,Entire home/apt
7954597,Private room in Palo Alto,Palo Alto,Private room
8017647,Stylish Condo on Santana Row + View,San Jose,Entire home/apt
8072672,Luxury Private Master Suite,San Jose,Private room
